ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.85,0.8,0.338,0.741,0.464,0.192,0.259,1.058,16,1.1,0.001,2.0,0.5,True,1
0.885,0.818,0.37,0.797,0.506,0.18,0.203,1.058,16,1.1,0.003,0.5,0.5,True,1
0.894,0.85,0.42,0.753,0.54,0.138,0.247,1.058,16,1.1,0.003,1.0,0.5,True,1
0.885,0.819,0.374,0.808,0.511,0.18,0.192,1.058,16,1.1,0.003,2.0,0.5,True,1
0.879,0.816,0.366,0.785,0.499,0.18,0.215,1.058,16,1.1,0.005,0.5,0.5,True,1
0.893,0.823,0.38,0.811,0.518,0.175,0.189,1.058,16,1.1,0.005,1.0,0.5,True,1
0.889,0.823,0.379,0.804,0.516,0.174,0.196,1.058,16,1.1,0.005,2.0,0.5,True,1
0.862,0.828,0.378,0.732,0.498,0.16,0.268,0.643,16,1.5,0.001,0.5,0.5,True,1
0.858,0.818,0.362,0.733,0.485,0.171,0.267,0.643,16,1.5,0.001,1.0,0.5,True,1
0.865,0.833,0.385,0.718,0.501,0.152,0.282,0.643,16,1.5,0.001,2.0,0.5,True,1
0.887,0.806,0.356,0.819,0.497,0.196,0.181,0.643,16,1.5,0.003,0.5,0.5,True,1
0.888,0.804,0.355,0.828,0.497,0.199,0.172,0.643,16,1.5,0.003,1.0,0.5,True,1
0.893,0.82,0.375,0.802,0.511,0.177,0.198,0.643,16,1.5,0.003,2.0,0.5,True,1
0.896,0.816,0.371,0.827,0.513,0.185,0.173,0.643,16,1.5,0.005,0.5,0.5,True,1
0.888,0.841,0.405,0.768,0.53,0.15,0.232,0.643,16,1.5,0.005,1.0,0.5,True,1
0.89,0.822,0.376,0.797,0.511,0.175,0.203,0.643,16,1.5,0.005,2.0,0.5,True,1
0.866,0.826,0.377,0.738,0.499,0.162,0.262,0.449,16,2.0,0.001,0.5,0.5,True,1
0.868,0.827,0.379,0.745,0.502,0.162,0.255,0.449,16,2.0,0.001,1.0,0.5,True,1
0.865,0.822,0.371,0.752,0.497,0.169,0.248,0.449,16,2.0,0.001,2.0,0.5,True,1
0.881,0.82,0.374,0.795,0.508,0.177,0.205,0.449,16,2.0,0.003,0.5,0.5,True,1
0.886,0.83,0.388,0.787,0.52,0.165,0.213,0.449,16,2.0,0.003,1.0,0.5,True,1
0.887,0.833,0.391,0.767,0.518,0.158,0.233,0.449,16,2.0,0.003,2.0,0.5,True,1
0.879,0.809,0.358,0.791,0.493,0.188,0.209,0.449,16,2.0,0.005,0.5,0.5,True,1
0.881,0.811,0.361,0.793,0.496,0.186,0.207,0.449,16,2.0,0.005,1.0,0.5,True,1
0.878,0.824,0.376,0.769,0.505,0.169,0.231,0.449,16,2.0,0.005,2.0,0.5,True,1
0.786,0.699,0.238,0.716,0.357,0.303,0.284,2.763,32,0.8,0.001,0.5,0.5,True,1
0.795,0.707,0.246,0.733,0.369,0.297,0.267,2.763,32,0.8,0.001,1.0,0.5,True,1
0.781,0.691,0.234,0.721,0.353,0.313,0.279,2.763,32,0.8,0.001,2.0,0.5,True,1
0.877,0.872,0.466,0.608,0.527,0.092,0.392,2.763,32,0.8,0.003,0.5,0.5,True,1
0.883,0.858,0.433,0.699,0.535,0.121,0.301,2.763,32,0.8,0.003,1.0,0.5,True,1
0.883,0.858,0.432,0.679,0.528,0.118,0.321,2.763,32,0.8,0.003,2.0,0.5,True,1
0.886,0.794,0.342,0.829,0.485,0.211,0.171,2.763,32,0.8,0.005,0.5,0.5,True,1
0.878,0.832,0.388,0.749,0.511,0.156,0.251,2.763,32,0.8,0.005,1.0,0.5,True,1
0.882,0.829,0.384,0.761,0.51,0.162,0.239,2.763,32,0.8,0.005,2.0,0.5,True,1
0.771,0.694,0.233,0.704,0.35,0.307,0.296,1.419,32,1.1,0.001,0.5,0.5,True,1
0.807,0.721,0.258,0.735,0.382,0.28,0.265,1.419,32,1.1,0.001,1.0,0.5,True,1
0.786,0.708,0.244,0.714,0.364,0.293,0.286,1.419,32,1.1,0.001,2.0,0.5,True,1
0.88,0.86,0.436,0.674,0.53,0.115,0.326,1.419,32,1.1,0.003,0.5,0.5,True,1
0.882,0.859,0.434,0.681,0.53,0.117,0.319,1.419,32,1.1,0.003,1.0,0.5,True,1
0.883,0.858,0.433,0.682,0.53,0.119,0.318,1.419,32,1.1,0.003,2.0,0.5,True,1
0.888,0.82,0.375,0.802,0.511,0.178,0.198,1.419,32,1.1,0.005,0.5,0.5,True,1
0.886,0.872,0.466,0.647,0.542,0.098,0.353,1.419,32,1.1,0.005,1.0,0.5,True,1
0.886,0.823,0.377,0.788,0.51,0.172,0.212,1.419,32,1.1,0.005,2.0,0.5,True,1
0.796,0.712,0.249,0.723,0.37,0.289,0.277,0.904,32,1.5,0.001,0.5,0.5,True,1
0.806,0.721,0.258,0.741,0.383,0.282,0.259,0.904,32,1.5,0.001,1.0,0.5,True,1
0.822,0.754,0.286,0.738,0.412,0.244,0.262,0.904,32,1.5,0.001,2.0,0.5,True,1
0.88,0.865,0.445,0.639,0.525,0.105,0.361,0.904,32,1.5,0.003,0.5,0.5,True,1
0.88,0.858,0.432,0.696,0.533,0.121,0.304,0.904,32,1.5,0.003,1.0,0.5,True,1
0.875,0.871,0.461,0.612,0.526,0.095,0.388,0.904,32,1.5,0.003,2.0,0.5,True,1
0.889,0.864,0.447,0.694,0.544,0.114,0.306,0.904,32,1.5,0.005,0.5,0.5,True,1
0.889,0.866,0.451,0.668,0.538,0.108,0.332,0.904,32,1.5,0.005,1.0,0.5,True,1
0.883,0.812,0.363,0.8,0.499,0.186,0.2,0.904,32,1.5,0.005,2.0,0.5,True,1
0.788,0.703,0.242,0.718,0.362,0.299,0.282,0.638,32,2.0,0.001,0.5,0.5,True,1
0.796,0.711,0.249,0.727,0.371,0.291,0.273,0.638,32,2.0,0.001,1.0,0.5,True,1
0.8,0.718,0.255,0.73,0.377,0.283,0.27,0.638,32,2.0,0.001,2.0,0.5,True,1
0.879,0.863,0.441,0.634,0.52,0.106,0.366,0.638,32,2.0,0.003,0.5,0.5,True,1
0.877,0.862,0.438,0.634,0.518,0.108,0.366,0.638,32,2.0,0.003,1.0,0.5,True,1
0.876,0.871,0.461,0.619,0.528,0.096,0.381,0.638,32,2.0,0.003,2.0,0.5,True,1
0.885,0.872,0.466,0.622,0.533,0.095,0.378,0.638,32,2.0,0.005,0.5,0.5,True,1
0.885,0.864,0.445,0.664,0.533,0.11,0.336,0.638,32,2.0,0.005,1.0,0.5,True,1
0.885,0.813,0.364,0.806,0.502,0.186,0.194,0.638,32,2.0,0.005,2.0,0.5,True,1
0.758,0.665,0.216,0.709,0.331,0.341,0.291,3.813,64,0.8,0.001,0.5,0.5,True,1
0.759,0.671,0.22,0.711,0.336,0.334,0.289,3.813,64,0.8,0.001,1.0,0.5,True,1
0.765,0.685,0.226,0.7,0.342,0.317,0.3,3.813,64,0.8,0.001,2.0,0.5,True,1
0.839,0.84,0.387,0.631,0.48,0.133,0.369,3.813,64,0.8,0.003,0.5,0.5,True,1
