ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Config
0.752,0.665,0.215,0.703,0.329,0.34,0.297,3.813,128,0.8,0.005,0.5,"BS=128.0, Noise=0.8, LR=0.005, Clip=0.5"
0.804,0.765,0.287,0.681,0.404,0.224,0.319,3.813,128,0.8,0.005,1.0,"BS=128.0, Noise=0.8, LR=0.005, Clip=1.0"
0.774,0.706,0.24,0.696,0.356,0.293,0.304,3.813,128,0.8,0.005,2.0,"BS=128.0, Noise=0.8, LR=0.005, Clip=2.0"
0.718,0.652,0.202,0.672,0.311,0.351,0.328,2.013,128,1.1,0.001,0.5,"BS=128.0, Noise=1.1, LR=0.001, Clip=0.5"
0.741,0.642,0.203,0.702,0.315,0.366,0.298,2.013,128,1.1,0.001,1.0,"BS=128.0, Noise=1.1, LR=0.001, Clip=1.0"
0.72,0.664,0.202,0.637,0.307,0.333,0.363,2.013,128,1.1,0.001,2.0,"BS=128.0, Noise=1.1, LR=0.001, Clip=2.0"
0.737,0.669,0.213,0.678,0.324,0.332,0.322,2.013,128,1.1,0.003,0.5,"BS=128.0, Noise=1.1, LR=0.003, Clip=0.5"
0.745,0.673,0.215,0.68,0.327,0.328,0.32,2.013,128,1.1,0.003,1.0,"BS=128.0, Noise=1.1, LR=0.003, Clip=1.0"
0.749,0.678,0.22,0.691,0.334,0.324,0.309,2.013,128,1.1,0.003,2.0,"BS=128.0, Noise=1.1, LR=0.003, Clip=2.0"
0.816,0.764,0.292,0.715,0.414,0.23,0.285,2.013,128,1.1,0.005,0.5,"BS=128.0, Noise=1.1, LR=0.005, Clip=0.5"
0.865,0.859,0.43,0.627,0.51,0.11,0.373,2.013,128,1.1,0.005,1.0,"BS=128.0, Noise=1.1, LR=0.005, Clip=1.0"
0.757,0.686,0.222,0.673,0.334,0.312,0.327,2.013,128,1.1,0.005,2.0,"BS=128.0, Noise=1.1, LR=0.005, Clip=2.0"
0.714,0.649,0.2,0.669,0.308,0.354,0.331,1.293,128,1.5,0.001,0.5,"BS=128.0, Noise=1.5, LR=0.001, Clip=0.5"
0.756,0.669,0.218,0.704,0.332,0.336,0.296,1.293,128,1.5,0.001,1.0,"BS=128.0, Noise=1.5, LR=0.001, Clip=1.0"
0.736,0.673,0.215,0.679,0.327,0.328,0.321,1.293,128,1.5,0.001,2.0,"BS=128.0, Noise=1.5, LR=0.001, Clip=2.0"
0.774,0.704,0.24,0.705,0.358,0.296,0.295,1.293,128,1.5,0.003,0.5,"BS=128.0, Noise=1.5, LR=0.003, Clip=0.5"
0.79,0.727,0.258,0.709,0.378,0.27,0.291,1.293,128,1.5,0.003,1.0,"BS=128.0, Noise=1.5, LR=0.003, Clip=1.0"
0.756,0.698,0.228,0.664,0.34,0.297,0.336,1.293,128,1.5,0.003,2.0,"BS=128.0, Noise=1.5, LR=0.003, Clip=2.0"
0.748,0.703,0.23,0.655,0.34,0.291,0.345,1.293,128,1.5,0.005,0.5,"BS=128.0, Noise=1.5, LR=0.005, Clip=0.5"
0.859,0.881,0.491,0.509,0.5,0.07,0.491,1.293,128,1.5,0.005,1.0,"BS=128.0, Noise=1.5, LR=0.005, Clip=1.0"
0.724,0.687,0.212,0.617,0.316,0.304,0.383,1.293,128,1.5,0.005,2.0,"BS=128.0, Noise=1.5, LR=0.005, Clip=2.0"
0.734,0.661,0.209,0.681,0.32,0.341,0.319,0.91,128,2.0,0.001,0.5,"BS=128.0, Noise=2.0, LR=0.001, Clip=0.5"
0.75,0.674,0.22,0.703,0.336,0.33,0.297,0.91,128,2.0,0.001,1.0,"BS=128.0, Noise=2.0, LR=0.001, Clip=1.0"
0.743,0.689,0.221,0.658,0.331,0.307,0.342,0.91,128,2.0,0.001,2.0,"BS=128.0, Noise=2.0, LR=0.001, Clip=2.0"
0.741,0.672,0.214,0.677,0.325,0.329,0.323,0.91,128,2.0,0.003,0.5,"BS=128.0, Noise=2.0, LR=0.003, Clip=0.5"
0.751,0.691,0.224,0.664,0.335,0.305,0.336,0.91,128,2.0,0.003,1.0,"BS=128.0, Noise=2.0, LR=0.003, Clip=1.0"
0.726,0.652,0.199,0.655,0.305,0.349,0.345,0.91,128,2.0,0.003,2.0,"BS=128.0, Noise=2.0, LR=0.003, Clip=2.0"
0.731,0.683,0.213,0.634,0.319,0.311,0.366,0.91,128,2.0,0.005,0.5,"BS=128.0, Noise=2.0, LR=0.005, Clip=0.5"
0.763,0.686,0.226,0.695,0.341,0.315,0.305,0.91,128,2.0,0.005,1.0,"BS=128.0, Noise=2.0, LR=0.005, Clip=1.0"
0.864,0.847,0.409,0.686,0.512,0.131,0.314,0.91,128,2.0,0.005,2.0,"BS=128.0, Noise=2.0, LR=0.005, Clip=2.0"
