ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.78,0.709,0.243,0.706,0.362,0.291,0.294,1.293,128,1.5,0.005,1.0,1.0
0.77,0.724,0.247,0.665,0.361,0.268,0.335,1.293,128,1.5,0.005,2.0,1.0
0.756,0.671,0.218,0.698,0.332,0.333,0.302,0.91,128,2.0,0.001,0.5,1.0
0.739,0.645,0.205,0.703,0.317,0.362,0.297,0.91,128,2.0,0.001,1.0,1.0
0.737,0.661,0.211,0.693,0.323,0.343,0.307,0.91,128,2.0,0.001,2.0,1.0
0.769,0.699,0.231,0.675,0.344,0.297,0.325,0.91,128,2.0,0.003,0.5,1.0
0.753,0.676,0.217,0.682,0.33,0.325,0.318,0.91,128,2.0,0.003,1.0,1.0
0.856,0.8,0.341,0.759,0.47,0.195,0.241,0.91,128,2.0,0.003,2.0,1.0
0.767,0.671,0.221,0.72,0.339,0.336,0.28,0.91,128,2.0,0.005,0.5,1.0
0.768,0.686,0.227,0.7,0.343,0.315,0.3,0.91,128,2.0,0.005,1.0,1.0
0.837,0.808,0.344,0.7,0.461,0.177,0.3,0.91,128,2.0,0.005,2.0,1.0
0.898,0.858,0.436,0.734,0.547,0.126,0.266,inf,16,0.0,0.001,0.0,0.5
0.903,0.847,0.418,0.785,0.545,0.145,0.215,inf,16,0.0,0.003,0.0,0.5
0.895,0.846,0.415,0.77,0.54,0.144,0.23,inf,16,0.0,0.005,0.0,0.5
0.879,0.852,0.422,0.725,0.533,0.132,0.275,inf,32,0.0,0.001,0.0,0.5
0.895,0.852,0.425,0.75,0.542,0.135,0.25,inf,32,0.0,0.003,0.0,0.5
0.896,0.846,0.414,0.754,0.535,0.141,0.246,inf,32,0.0,0.005,0.0,0.5
0.898,0.851,0.424,0.767,0.547,0.138,0.233,inf,64,0.0,0.001,0.0,0.5
0.898,0.854,0.43,0.744,0.545,0.131,0.256,inf,64,0.0,0.003,0.0,0.5
0.902,0.856,0.433,0.753,0.55,0.131,0.247,inf,64,0.0,0.005,0.0,0.5
